平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台
,/极端情况下交互引导/磁盘空间不足(#5351),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/MBR磁盘没有全盘格式化(#5352),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/根分区和boot分区最小大小(#5353),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/没有EFI分区(#5354),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/最大和最小分辨率显示屏(#5355),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/Windows系统分区提示(#5356),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/live系统(#5357),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/安全启动(#5358),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/低电量情况下安装(#5359),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理(#5312),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/UEFI兼容模式(#5360),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/UEFI支持(#5361),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/双系统安装(#5362),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/引导修复(#5363),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/多系统兼容引导(#5364),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/多屏处理(#5365),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/硬件兼容性测试(#5366),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/内存兼容(#5367),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/显卡兼容(#5368),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/兼容性处理/CPU兼容(#5369),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块(#5313),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/安装器自定义(#5370),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置(#5371),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/语言配置(#5373),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/账户配置(#5374),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/密码设置(#5375),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/时区设置(#5376),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/网络配置(#5377),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/键盘布局(#5378),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/桌面背景(#5379),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/Logo图标(#5380),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/GRUB引导画面(#5381),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/安装器背景(#5382),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/登录界面背景(#5383),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/开机动画(#5384),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/幻灯片显示(#5385),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/安装DEB包(#5386),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/安装源显示(#5387),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/系统分区(#5388),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/主机名配置(#5389),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/GRUB等待时间(#5390),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/SWAP分区(#5391),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/虚拟机提示(#5392),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/系统信息(#5393),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/用户头像(#5394),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/GRUB加密(#5395),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/基本信息配置/自动激活(#5396),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/OEM定制模块/后配置安装(#5372),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/PXE服务器部署(#5314),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/系统安装时间(#5315),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
